"mcchange","dist_threshold","seat_threshold","totaldeltaprof","totaldeltacs","totaldeltawelfare"
-0.08,530,20,-242906.632902237,-713359.197222351,-956265.830124588
-0.07,530,20,-187984.240529916,-629865.541554639,-817849.782084554
-0.06,530,20,-131622.833145587,-545102.559143719,-676725.392289306
-0.05,530,20,-73749.3278683221,-459009.273720232,-532758.601588554
-0.04,530,20,-14327.5942526496,-371512.326035362,-385839.920288012
-0.03,530,20,46695.2587329065,-282538.06186939,-235842.803136483
-0.02,530,20,109375.692280741,-192009.307311323,-82633.6150305821
-0.01,530,20,173755.938768788,-99842.0285123049,73913.9102564831
0.01,530,20,307907.618108818,89747.4163066693,397655.034415487
0.02,530,20,377797.081463867,187356.520269917,565153.601733784
0.03,530,20,449649.674185104,286973.848632351,736623.522817455
0.04,530,20,523534.437824917,388704.892893316,912239.330718232
0.05,530,20,599522.958195739,492660.648227503,1092183.60642324
0.06,530,20,677689.616329991,598957.925251775,1276647.54158177
0.07,530,20,758112.04043904,707719.640817733,1465831.68125677
0.08,530,20,840870.463630506,819075.090722467,1659945.55435297
0.09,530,20,926048.484999117,933160.290429761,1859208.77542888
0.1,530,20,1013733.15482856,1050118.32857621,2063851.48340477
-0.1,540,20,-348590.333686771,-876794.485617863,-1225384.81930463
-0.09,540,20,-296426.992184698,-795648.864065315,-1092075.85625001
-0.08,540,20,-242906.632902237,-713359.197222351,-956265.830124588
-0.07,540,20,-187984.240529916,-629865.541554639,-817849.782084554
-0.06,540,20,-131622.833145587,-545102.559143719,-676725.392289306
-0.05,540,20,-73749.3278683221,-459009.273720232,-532758.601588554
-0.04,540,20,-14327.5942526496,-371512.326035362,-385839.920288012
-0.03,540,20,46695.2587329065,-282538.06186939,-235842.803136483
-0.02,540,20,109375.692280741,-192009.307311323,-82633.6150305821
-0.01,540,20,173755.938768788,-99842.0285123049,73913.9102564831
0.01,540,20,307907.618108818,89747.4163066693,397655.034415487
0.02,540,20,377797.081463867,187356.520269917,565153.601733784
0.03,540,20,449649.674185104,286973.848632351,736623.522817455
0.04,540,20,523534.437824917,388704.892893316,912239.330718232
0.05,540,20,599522.958195739,492660.648227503,1092183.60642324
0.06,540,20,677689.616329991,598957.925251775,1276647.54158177
0.07,540,20,758112.04043904,707719.640817733,1465831.68125677
0.08,540,20,840870.463630506,819075.090722467,1659945.55435297
0.09,540,20,926048.484999117,933160.290429761,1859208.77542888
0.1,540,20,1013733.15482856,1050118.32857621,2063851.48340477
-0.1,550,20,-348590.333686771,-876794.485617863,-1225384.81930463
-0.09,550,20,-296426.992184698,-795648.864065315,-1092075.85625001
-0.08,550,20,-242906.632902237,-713359.197222351,-956265.830124588
-0.07,550,20,-187984.240529916,-629865.541554639,-817849.782084554
-0.06,550,20,-131622.833145587,-545102.559143719,-676725.392289306
-0.05,550,20,-73749.3278683221,-459009.273720232,-532758.601588554
-0.04,550,20,-14327.5942526496,-371512.326035362,-385839.920288012
-0.03,550,20,46695.2587329065,-282538.06186939,-235842.803136483
-0.02,550,20,109375.692280741,-192009.307311323,-82633.6150305821
-0.01,550,20,173755.938768788,-99842.0285123049,73913.9102564831
